Sample in Buffer,Sample in Window,TRIGGER,design_1_i/system_ila_0/inst/net_slot_0_axi_ar_cnt[1:0],design_1_i/system_ila_0/inst/net_slot_0_axi_araddr[31:0],design_1_i/system_ila_0/inst/net_slot_0_axi_arburst[1:0],design_1_i/system_ila_0/inst/net_slot_0_axi_arcache[3:0],design_1_i/system_ila_0/inst/net_slot_0_axi_arid[3:0],design_1_i/system_ila_0/inst/net_slot_0_axi_arlen[7:0],design_1_i/system_ila_0/inst/net_slot_0_axi_arlock,design_1_i/system_ila_0/inst/net_slot_0_axi_arprot[2:0],design_1_i/system_ila_0/inst/net_slot_0_axi_arqos[3:0],design_1_i/system_ila_0/inst/net_slot_0_axi_arsize[2:0],design_1_i/system_ila_0/inst/net_slot_0_axi_aw_cnt[1:0],design_1_i/system_ila_0/inst/net_slot_0_axi_awaddr[31:0],design_1_i/system_ila_0/inst/net_slot_0_axi_awburst[1:0],design_1_i/system_ila_0/inst/net_slot_0_axi_awcache[3:0],design_1_i/system_ila_0/inst/net_slot_0_axi_awid[3:0],design_1_i/system_ila_0/inst/net_slot_0_axi_awlen[7:0],design_1_i/system_ila_0/inst/net_slot_0_axi_awlock,design_1_i/system_ila_0/inst/net_slot_0_axi_awprot[2:0],design_1_i/system_ila_0/inst/net_slot_0_axi_awqos[3:0],design_1_i/system_ila_0/inst/net_slot_0_axi_awsize[2:0],design_1_i/system_ila_0/inst/net_slot_0_axi_b_cnt[1:0],design_1_i/system_ila_0/inst/net_slot_0_axi_bid[3:0],design_1_i/system_ila_0/inst/net_slot_0_axi_bresp[1:0],design_1_i/system_ila_0/inst/net_slot_0_axi_r_cnt[1:0],design_1_i/system_ila_0/inst/net_slot_0_axi_rdata[63:0],design_1_i/system_ila_0/inst/net_slot_0_axi_rid[3:0],design_1_i/system_ila_0/inst/net_slot_0_axi_rresp[1:0],design_1_i/system_ila_0/inst/net_slot_0_axi_wdata[63:0],design_1_i/system_ila_0/inst/net_slot_0_axi_wstrb[7:0],design_1_i/system_ila_0/inst/net_slot_0_axi_aw_ctrl[1:0],design_1_i/system_ila_0/inst/net_slot_0_axi_awvalid,design_1_i/system_ila_0/inst/net_slot_0_axi_awready,design_1_i/system_ila_0/inst/net_slot_0_axi_w_ctrl[2:0],design_1_i/system_ila_0/inst/net_slot_0_axi_wvalid,design_1_i/system_ila_0/inst/net_slot_0_axi_wready,design_1_i/system_ila_0/inst/net_slot_0_axi_wlast,design_1_i/system_ila_0/inst/net_slot_0_axi_b_ctrl[1:0],design_1_i/system_ila_0/inst/net_slot_0_axi_bvalid,design_1_i/system_ila_0/inst/net_slot_0_axi_bready,design_1_i/system_ila_0/inst/net_slot_0_axi_ar_ctrl[1:0],design_1_i/system_ila_0/inst/net_slot_0_axi_arvalid,design_1_i/system_ila_0/inst/net_slot_0_axi_arready,design_1_i/system_ila_0/inst/net_slot_0_axi_r_ctrl[2:0],design_1_i/system_ila_0/inst/net_slot_0_axi_rvalid,design_1_i/system_ila_0/inst/net_slot_0_axi_rready,design_1_i/system_ila_0/inst/net_slot_0_axi_rlast,AR_Channel_(i1:s0)_(RISCV_axi4_mem)[2:0],AW_Channel_(i1:s0)_(RISCV_axi4_mem)[2:0],B_Channel_(i1:s0)_(RISCV_axi4_mem)[2:0],Interface_(i1:s0)_(RISCV_axi4_mem)[2:0],R_Channel_(i1:s0)_(RISCV_axi4_mem)[2:0],W_Channel_(i1:s0)_(RISCV_axi4_mem)[2:0],ila_1___slot_0___RISCV_axi4_mem___Read_Transactions_0[15:0],ila_1___slot_0___RISCV_axi4_mem___Write_Transactions_0[15:0]
16,16,0,1,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",1,000000000000000d,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,2,0,1,2,0,1,0,0,0,0,"_","_","_","_","_","_","_","_"
17,17,0,1,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",1,000000000000000d,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,2,0,1,2,0,1,0,0,0,0,"_","_","_","_","_","_","_","_"
18,18,0,1,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",1,000000000000000d,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,2,0,1,2,0,1,0,0,0,0,"_","_","_","_","_","_","_","_"
19,19,0,1,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",1,4201418141014081,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,0,0,0,2,0,1,3,1,1,0,"_","_","_","Active","Data Beat","_","_","_"
20,20,0,1,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",1,4401438143014281,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,0,0,0,2,0,1,3,1,1,0,"_","_","_","Active","Data Beat","_","_","_"
21,21,0,1,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",1,4601458145014481,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,0,0,0,2,0,1,3,1,1,0,"_","_","_","Active","Data Beat","_","_","_"
22,22,0,1,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",1,4801478147014681,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,0,0,0,2,0,1,3,1,1,0,"_","_","_","Active","Data Beat","_","_","_"
23,23,0,1,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",1,4a01498149014881,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,0,0,0,2,0,1,3,1,1,0,"_","_","_","Active","Data Beat","_","_","_"
24,24,0,1,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",1,4c014b814b014a81,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,0,0,0,2,0,1,3,1,1,0,"_","_","_","Active","Data Beat","_","_","_"
25,25,0,1,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",1,4e014d814d014c81,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,0,0,0,2,0,1,3,1,1,0,"_","_","_","Active","Data Beat","_","_","_"
26,26,0,1,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",1,62f94f814f014e81,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,0,0,0,2,0,1,7,1,1,1,"_","_","_","Active","Last Data","_","_","_"
27,27,0,0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",0,4201418141014081,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,2,0,1,2,0,1,0,0,0,0,"_","_","_","_","_","_","_","_"
28,28,0,0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",0,4201418141014081,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,2,0,1,2,0,1,0,0,0,0,"_","_","_","_","_","_","_","_"
29,29,0,0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",0,4201418141014081,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,2,0,1,2,0,1,0,0,0,0,"_","_","_","_","_","_","_","_"
30,30,0,0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",0,4201418141014081,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,2,0,1,2,0,1,0,0,0,0,"_","_","_","_","_","_","_","_"
31,31,0,0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",0,4201418141014081,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,2,0,1,2,0,1,0,0,0,0,"_","_","_","_","_","_","_","_"
32,32,0,0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",0,4201418141014081,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,2,0,1,2,0,1,0,0,0,0,"_","_","_","_","_","_","_","_"
33,33,0,0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",0,4201418141014081,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,2,0,1,2,0,1,0,0,0,0,"_","_","_","_","_","_","_","_"
34,34,0,0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",0,4201418141014081,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,2,0,1,2,0,1,0,0,0,0,"_","_","_","_","_","_","_","_"
35,35,0,0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",0,4201418141014081,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,2,0,1,2,0,1,0,0,0,0,"_","_","_","_","_","_","_","_"
36,36,0,0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",0,4201418141014081,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,2,0,1,2,0,1,0,0,0,0,"_","_","_","_","_","_","_","_"
37,37,0,0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",0,4201418141014081,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,2,0,1,2,0,1,0,0,0,0,"_","_","_","_","_","_","_","_"
38,38,0,0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",0,4201418141014081,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,2,0,1,2,0,1,0,0,0,0,"_","_","_","_","_","_","_","_"
39,39,0,0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",0,4201418141014081,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,2,0,1,2,0,1,0,0,0,0,"_","_","_","_","_","_","_","_"
40,40,0,0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",0,4201418141014081,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,2,0,1,2,0,1,0,0,0,0,"_","_","_","_","_","_","_","_"
41,41,0,0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",0,4201418141014081,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,2,0,1,2,0,1,0,0,0,0,"_","_","_","_","_","_","_","_"
42,42,0,0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",0,4201418141014081,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,2,0,1,2,0,1,0,0,0,0,"_","_","_","_","_","_","_","_"
43,43,0,0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",0,4201418141014081,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,2,0,1,2,0,1,0,0,0,0,"_","_","_","_","_","_","_","_"
44,44,0,0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",0,4201418141014081,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,2,0,1,2,0,1,0,0,0,0,"_","_","_","_","_","_","_","_"
45,45,0,0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",0,4201418141014081,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,2,0,1,2,0,1,0,0,0,0,"_","_","_","_","_","_","_","_"
46,46,0,0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",0,4201418141014081,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,2,0,1,2,0,1,0,0,0,0,"_","_","_","_","_","_","_","_"
47,47,0,0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",0,4201418141014081,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,2,0,1,2,0,1,0,0,0,0,"_","_","_","_","_","_","_","_"
48,48,0,0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",0,4201418141014081,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,2,0,1,2,0,1,0,0,0,0,"_","_","_","_","_","_","_","_"
49,49,0,0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",0,4201418141014081,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,2,0,1,2,0,1,0,0,0,0,"_","_","_","_","_","_","_","_"
50,50,0,0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",0,4201418141014081,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,2,0,1,2,0,1,0,0,0,0,"_","_","_","_","_","_","_","_"
51,51,0,0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",0,4201418141014081,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,2,0,1,2,0,1,0,0,0,0,"_","_","_","_","_","_","_","_"
52,52,0,0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",0,4201418141014081,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,2,0,1,2,0,1,0,0,0,0,"_","_","_","_","_","_","_","_"
53,53,0,0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",0,4201418141014081,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,2,0,1,2,0,1,0,0,0,0,"_","_","_","_","_","_","_","_"
54,54,0,0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",0,4201418141014081,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,2,0,1,2,0,1,0,0,0,0,"_","_","_","_","_","_","_","_"
55,55,0,0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",0,4201418141014081,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,2,0,1,2,0,1,0,0,0,0,"_","_","_","_","_","_","_","_"
56,56,0,0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",0,4201418141014081,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,2,0,1,2,0,1,0,0,0,0,"_","_","_","_","_","_","_","_"
57,57,0,0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",0,4201418141014081,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,2,0,1,2,0,1,0,0,0,0,"_","_","_","_","_","_","_","_"
58,58,0,0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,00000000,"INCR",0,0,00,0,"Data Secure Privileged",0,"1 byte",0,8,"OKAY",0,4201418141014081,2,"OKAY",0000000000000000,00,2,0,1,4,0,0,1,2,0,1,2,0,1,0,0,0,0,"_","_","_","_","_","_","_","_"
